sample_id,task_id,local_label,astrogator,astrogator_configured_heuristics,judge,generated_checks_gated
qwen2.5-coder/p13/8,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
qwen2.5-coder/p13/9,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
qwen3-coder/p01/0,a01,passed_local_checks,accept,accept,accept,test_invalid
qwen3-coder/p01/1,a01,passed_local_checks,accept,accept,accept,test_invalid
qwen3-coder/p01/2,a01,passed_local_checks,accept,accept,accept,test_invalid
qwen3-coder/p01/3,a01,passed_local_checks,accept,accept,accept,test_invalid
qwen3-coder/p01/4,a01,passed_local_checks,accept,accept,accept,test_invalid
qwen3-coder/p01/5,a01,passed_local_checks,accept,accept,accept,test_invalid
qwen3-coder/p01/6,a01,passed_local_checks,accept,accept,accept,test_invalid
qwen3-coder/p01/7,a01,passed_local_checks,accept,accept,accept,test_invalid
qwen3-coder/p01/8,a01,passed_local_checks,accept,accept,accept,test_invalid
qwen3-coder/p01/9,a01,passed_local_checks,accept,accept,accept,test_invalid
qwen3-coder/p05/0,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen3-coder/p05/1,a02,passed_local_checks,accept,accept,reject,test_reference_control_failed
qwen3-coder/p05/2,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen3-coder/p05/3,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen3-coder/p05/4,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen3-coder/p05/5,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen3-coder/p05/6,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen3-coder/p05/7,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen3-coder/p05/8,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen3-coder/p05/9,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen3-coder/p10/0,a17,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
qwen3-coder/p10/1,a17,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
qwen3-coder/p10/2,a17,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
qwen3-coder/p10/3,a17,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
qwen3-coder/p10/4,a17,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
qwen3-coder/p10/5,a17,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
qwen3-coder/p10/6,a17,failed_local_checks_or_execution,reject,reject,reject,test_reference_control_failed
qwen3-coder/p10/7,a17,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
qwen3-coder/p10/8,a17,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
qwen3-coder/p10/9,a17,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
qwen3-coder/p13/0,a06,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen3-coder/p13/1,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
qwen3-coder/p13/2,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
qwen3-coder/p13/3,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
qwen3-coder/p13/4,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,reject,test_reference_control_failed
qwen3-coder/p13/5,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,reject,test_reference_control_failed
qwen3-coder/p13/6,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
qwen3-coder/p13/7,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
qwen3-coder/p13/8,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
qwen3-coder/p13/9,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
qwen3.5/p01/0,a01,passed_local_checks,accept,accept,accept,test_invalid
qwen3.5/p01/1,a01,passed_local_checks,accept,accept,accept,test_invalid
qwen3.5/p01/2,a01,passed_local_checks,accept,accept,accept,test_invalid
qwen3.5/p01/3,a01,passed_local_checks,accept,accept,accept,test_invalid
qwen3.5/p01/4,a01,passed_local_checks,accept,accept,accept,test_invalid
qwen3.5/p01/5,a01,passed_local_checks,accept,accept,accept,test_invalid
qwen3.5/p01/6,a01,passed_local_checks,accept,accept,accept,test_invalid
qwen3.5/p01/7,a01,passed_local_checks,accept,accept,accept,test_invalid
qwen3.5/p01/8,a01,passed_local_checks,accept,accept,accept,test_invalid
qwen3.5/p01/9,a01,passed_local_checks,accept,accept,accept,test_invalid
qwen3.5/p05/0,a02,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
qwen3.5/p05/1,a02,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
qwen3.5/p05/2,a02,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
qwen3.5/p05/3,a02,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
qwen3.5/p05/4,a02,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
qwen3.5/p05/5,a02,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
qwen3.5/p05/6,a02,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
qwen3.5/p05/7,a02,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
qwen3.5/p05/8,a02,failed_local_checks_or_execution,reject,reject,reject,test_reference_control_failed
qwen3.5/p05/9,a02,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
qwen3.5/p10/0,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen3.5/p10/1,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen3.5/p10/2,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen3.5/p10/3,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen3.5/p10/4,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen3.5/p10/5,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen3.5/p10/6,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen3.5/p10/7,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen3.5/p10/8,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen3.5/p10/9,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen3.5/p13/0,a06,missing_processed,missing_processed,missing_processed,missing_processed,missing_processed
qwen3.5/p13/1,a06,missing_processed,missing_processed,missing_processed,missing_processed,missing_processed
qwen3.5/p13/2,a06,missing_processed,missing_processed,missing_processed,missing_processed,missing_processed
qwen3.5/p13/3,a06,missing_processed,missing_processed,missing_processed,missing_processed,missing_processed
qwen3.5/p13/4,a06,missing_processed,missing_processed,missing_processed,missing_processed,missing_processed
qwen3.5/p13/5,a06,missing_processed,missing_processed,missing_processed,missing_processed,missing_processed
qwen3.5/p13/6,a06,missing_processed,missing_processed,missing_processed,missing_processed,missing_processed
qwen3.5/p13/7,a06,missing_processed,missing_processed,missing_processed,missing_processed,missing_processed
qwen3.5/p13/8,a06,missing_processed,missing_processed,missing_processed,missing_processed,missing_processed
qwen3.5/p13/9,a06,missing_processed,missing_processed,missing_processed,missing_processed,missing_processed
starcoder/p01/0,a01,passed_local_checks,accept,accept,accept,test_invalid
starcoder/p01/1,a01,passed_local_checks,accept,accept,accept,test_invalid
starcoder/p01/2,a01,passed_local_checks,accept,accept,accept,test_invalid
starcoder/p01/3,a01,passed_local_checks,accept,accept,accept,test_invalid
starcoder/p01/4,a01,passed_local_checks,accept,accept,accept,test_invalid
starcoder/p01/5,a01,passed_local_checks,accept,accept,accept,test_invalid
starcoder/p01/6,a01,passed_local_checks,accept,accept,accept,test_invalid
starcoder/p01/7,a01,passed_local_checks,accept,accept,accept,test_invalid
starcoder/p01/8,a01,passed_local_checks,accept,accept,accept,test_invalid
starcoder/p01/9,a01,passed_local_checks,accept,accept,accept,test_invalid
starcoder/p05/0,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
starcoder/p05/1,a02,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
starcoder/p05/2,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
starcoder/p05/3,a02,passed_local_checks,accept,accept,reject,test_reference_control_failed
starcoder/p05/4,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
starcoder/p05/5,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
starcoder/p05/6,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
starcoder/p05/7,a02,missing_processed,missing_processed,missing_processed,missing_processed,missing_processed
starcoder/p05/8,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
starcoder/p05/9,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
starcoder/p10/0,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
starcoder/p10/1,a17,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
starcoder/p10/2,a17,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
starcoder/p10/3,a17,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,reject,test_reference_control_failed
starcoder/p10/4,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
starcoder/p10/5,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
starcoder/p10/6,a17,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
starcoder/p10/7,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
starcoder/p10/8,a17,missing_processed,missing_processed,missing_processed,missing_processed,missing_processed
starcoder/p10/9,a17,passed_local_checks,accept,accept,reject,test_reference_control_failed
starcoder/p13/0,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
starcoder/p13/1,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
starcoder/p13/2,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
starcoder/p13/3,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
starcoder/p13/4,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
starcoder/p13/5,a06,failed_local_checks_or_execution,accept,reject,accept,test_reference_control_failed
starcoder/p13/6,a06,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
starcoder/p13/7,a06,failed_local_checks_or_execution,accept,reject,accept,test_reference_control_failed
starcoder/p13/8,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
starcoder/p13/9,a06,passed_local_checks,accept,accept,accept,test_reference_control_failed
